Dataset,Model,Best Params,MSE,MAE,R2,Training Time (s)
Halberd,Linear Regression (K=3),{},2.3641879593436144e-28,1.1061179983156182e-14,1.0,1.06
Halberd,Linear Regression (K=5),{},2.3641879593436144e-28,1.1061179983156182e-14,1.0,1.51
Halberd,Linear Regression (K=7),{},2.3641879593436144e-28,1.1061179983156182e-14,1.0,1.78
Halberd,Decision Tree (K=7),{'max_depth': 7},0.08305474589835934,0.16098359343737492,0.9581090003948451,3.2
Halberd,Decision Tree (K=3),{'max_depth': 3},0.9689518949557494,0.7621464713477095,0.511281829714114,1.54
Halberd,Decision Tree (K=5),{'max_depth': 3},0.9689518949557494,0.7621464713477096,0.511281829714114,2.02
Halberd,Lasso Regression (K=5),{'alpha': 0.1},1.111297947779855,0.862742474730118,0.4394855900392929,3.5
Halberd,Lasso Regression (K=3),{'alpha': 0.1},1.111297947779855,0.862742474730118,0.4394855900392929,2.62
Halberd,Gradient Boosting (K=5),"{'learning_rate': 0.01, 'n_estimators': 50}",1.272173634790617,0.9100071030435871,0.35834340763716743,21.0
Halberd,Gradient Boosting (K=3),"{'learning_rate': 0.01, 'n_estimators': 50}",1.272173634790617,0.9100071030435871,0.35834340763716743,17.32
Halberd,Gradient Boosting (K=7),"{'learning_rate': 0.01, 'n_estimators': 50}",1.272173634790617,0.9100071030435871,0.35834340763716743,24.08
Halberd,Lasso Regression (K=7),{'alpha': 10.0},1.9826393898735961,1.1542362827483934,0.0,2.64
