Model,Best Params,MSE,MAE,R2,Training Time (s)
Linear Regression (K=3),{},3.7606623477278737e-28,1.4214586557301586e-14,1.0,2.76
Linear Regression (K=5),{},3.7606623477278737e-28,1.4214586557301586e-14,1.0,2.55
Linear Regression (K=7),{},3.7606623477278737e-28,1.4214586557301586e-14,1.0,3.09
Random Forest (K=5),"{'max_depth': 10, 'n_estimators': 100}",0.22235370148662412,0.38817428498672185,0.8619085225284241,131.39
Random Forest (K=7),"{'max_depth': 10, 'n_estimators': 100}",0.22379568222056867,0.38410928171268494,0.8610129887518122,141.21
Random Forest (K=3),"{'max_depth': 5, 'n_estimators': 100}",0.3505243847410049,0.48359239165220835,0.7823088626135946,32.5
Decision Tree (K=5),{'max_depth': 3},0.8419939655807476,0.7187561849914791,0.4770845281557362,3.99
Decision Tree (K=7),{'max_depth': 3},0.8419939655807476,0.718756184991479,0.4770845281557362,5.26
Decision Tree (K=3),{'max_depth': 3},0.8419939655807477,0.7187561849914791,0.4770845281557361,3.8
Gradient Boosting (K=7),"{'learning_rate': 0.01, 'n_estimators': 50}",1.0349783932103007,0.8277296696363486,0.3572326679789245,49.83
Gradient Boosting (K=3),"{'learning_rate': 0.01, 'n_estimators': 50}",1.0349783932103007,0.8277296696363486,0.3572326679789244,17.64
Gradient Boosting (K=5),"{'learning_rate': 0.01, 'n_estimators': 50}",1.0349783932103007,0.8277296696363486,0.3572326679789244,41.09
Lasso Regression (K=3),{'alpha': 10.0},1.6101913424193204,1.047935880234447,0.0,3.06
Lasso Regression (K=5),{'alpha': 10.0},1.6101913424193204,1.047935880234447,0.0,3.87
Lasso Regression (K=7),{'alpha': 10.0},1.6101913424193204,1.047935880234447,0.0,4.74
