iter	RMSE
0	1.234349838
1	1.194779156
2	1.164166216
3	1.133790794
4	1.097459605
5	1.084925062
6	1.047933387
7	1.027829198
8	1.008736714
9	0.9882839743
10	0.9733812086
11	0.9380006471
12	0.924151504
13	0.9032561724
14	0.8958526409
15	0.8859320426
16	0.8620314182
17	0.8492507014
18	0.8354478453
19	0.8208922921
20	0.8145570087
21	0.7979679066
22	0.7946983304
23	0.7685607454
24	0.7472334704
25	0.7241154535
26	0.7113192766
27	0.6885095385
28	0.6741388578
29	0.6345198543
30	0.6196363409
31	0.5891034557
32	0.5617384323
33	0.5552509394
34	0.5283450308
35	0.5002956486
36	0.4764584323
37	0.4720480455
38	0.4602401556
39	0.4537047346
40	0.4284298754
41	0.4091677282
42	0.4045060465
43	0.3766987597
44	0.373031128
45	0.354465012
46	0.3428690163
47	0.3321940881
48	0.3187555543
49	0.3068456686
50	0.2971076022
51	0.2863722762
52	0.2830409901
53	0.2743662203
54	0.2570712306
55	0.2546891399
56	0.2421002184
57	0.2401857027
58	0.2271366941
59	0.2166726549
60	0.2149966049
61	0.2080027506
62	0.1946491715
63	0.1841441608
64	0.1822529634
65	0.1730269523
66	0.1678221102
67	0.1619806027
68	0.1606564979
69	0.1593815655
70	0.1581743412
71	0.1535383405
72	0.1453144378
73	0.1375176746
74	0.1304997808
75	0.1232433031
76	0.1223430145
77	0.121519926
78	0.1162734946
79	0.1114076155
80	0.1073143468
81	0.1021394389
82	0.09792278107
83	0.09725657081
84	0.09421976147
85	0.08905308863
86	0.08414839344
87	0.08063120254
88	0.07692022351
89	0.07370255529
90	0.07044770692
91	0.06999171956
92	0.06924608937
93	0.06665839757
94	0.06422806898
95	0.06216497188
96	0.05924392669
97	0.0567626113
98	0.05401616272
99	0.05093026516
