iter	Passed	Remaining
0	456	45196
1	581	28471
2	708	22919
3	840	20161
4	971	18465
5	1099	17231
6	1230	16343
7	1361	15653
8	1496	15128
9	1623	14612
10	1753	14183
11	1880	13786
12	2010	13453
13	2135	13118
14	2262	12820
15	2392	12561
16	2524	12325
17	2648	12065
18	2772	11820
19	2896	11585
20	3033	11413
21	3158	11197
22	3289	11011
23	3420	10832
24	3545	10636
25	3670	10447
26	3795	10261
27	3921	10083
28	4045	9904
29	4172	9735
30	4301	9573
31	4424	9402
32	4556	9251
33	4679	9084
34	4812	8937
35	4946	8794
36	5075	8642
37	5208	8498
38	5340	8353
39	5479	8219
40	5603	8063
41	5740	7927
42	5869	7780
43	6001	7638
44	6124	7485
45	6259	7348
46	6385	7200
47	6523	7067
48	6651	6923
49	6795	6795
50	6922	6650
51	7067	6524
52	7194	6379
53	7334	6247
54	7465	6108
55	7596	5968
56	7740	5839
57	7874	5701
58	8004	5562
59	8145	5430
60	8271	5288
61	8397	5147
62	8522	5005
63	8648	4864
64	8779	4727
65	8908	4588
66	9037	4451
67	9162	4311
68	9288	4172
69	9411	4033
70	9536	3895
71	9663	3758
72	9810	3628
73	9935	3490
74	10062	3354
75	10190	3217
76	10316	3081
77	10442	2945
78	10572	2810
79	10696	2674
80	10822	2538
81	10958	2405
82	11088	2271
83	11214	2136
84	11340	2001
85	11466	1866
86	11601	1733
87	11735	1600
88	11876	1467
89	12001	1333
90	12138	1200
91	12268	1066
92	12399	933
93	12530	799
94	12656	666
95	12781	532
96	12908	399
97	13053	266
98	13185	133
99	13319	0
