Model,Best Params,MSE,MAE,R2,Training Time (s)
Gradient Boosting (K=3),"{'learning_rate': 0.01, 'n_estimators': 100}",1.5988320154981892,1.043461224701562,-0.0034401676914485777,16.4
Lasso Regression (K=3),{'alpha': 1.0},1.6125775026649487,1.0484224548306826,-0.004818016344374583,1.78
XGBoost (K=3),"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50}",1.6125755550511032,1.0417737441837278,-0.010516902826379662,39.52
Gradient Boosting (K=7),"{'learning_rate': 0.01, 'n_estimators': 100}",1.531301865292553,1.0047958498223146,-0.014945119593971172,25.31
XGBoost (K=7),"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",1.5323050027190661,1.0090533732566513,-0.019837209641920896,134.38
Lasso Regression (K=5),{'alpha': 1.0},1.6307638881392328,1.0534170575896262,-0.04547059873334112,2.9
Gradient Boosting (K=5),"{'learning_rate': 0.01, 'n_estimators': 100}",1.6535404197386128,1.061554304348356,-0.05895635823960264,20.03
XGBoost (K=5),"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50}",1.6552947923557877,1.0618828517699588,-0.06443881378097942,52.83
Lasso Regression (K=7),{'alpha': 0.1},1.6067014020160921,1.0380159467579748,-0.06460003750334306,3.94
XGBoost (K=9),"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",1.560510973671535,1.0197957391878623,-0.07319909733246922,148.8
Gradient Boosting (K=9),"{'learning_rate': 0.01, 'n_estimators': 100}",1.566336403436981,1.015388465186374,-0.07329537735651066,30.49
XGBoost (K=11),"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",1.5750541091905796,1.0390641277880708,-0.0780007361217462,147.9
Random Forest (K=3),"{'max_depth': 5, 'n_estimators': 50}",1.7337031611399774,1.0858345764604578,-0.08826836562418257,30.32
Lasso Regression (K=9),{'alpha': 0.1},1.5892081407623422,1.0195882239687883,-0.09513967485999988,5.14
Lasso Regression (K=11),{'alpha': 1.0},1.624623359817601,1.0543434876987836,-0.09625080449312082,5.35
Random Forest (K=11),"{'max_depth': 10, 'n_estimators': 50}",1.5968623730406988,1.0270017682680037,-0.0976882695365029,67.07
Random Forest (K=7),"{'max_depth': 10, 'n_estimators': 100}",1.6651628919586623,1.0401635853984341,-0.0991012523649456,55.46
Gradient Boosting (K=11),"{'learning_rate': 0.01, 'n_estimators': 100}",1.6057393227330137,1.046003964935065,-0.09998049816967737,32.98
Random Forest (K=9),"{'max_depth': 5, 'n_estimators': 50}",1.6145654649450387,1.0344334502805177,-0.11217064087450011,54.62
Random Forest (K=5),"{'max_depth': 10, 'n_estimators': 100}",1.833127130393898,1.1090706864961728,-0.17829730370582522,95.8
Linear Regression (K=3),{},1.9823526603862964,1.1597224109044724,-0.25009611117036434,2.24
Linear Regression (K=7),{},2.0253067718042845,1.1444291674583487,-0.3855598402724944,2.81
Linear Regression (K=9),{},1.9557276257875782,1.1585943023486684,-0.38956243164640886,2.76
Linear Regression (K=5),{},2.1966674949537284,1.2087512648772172,-0.45669698936146047,2.29
Decision Tree (K=7),{'max_depth': 3},2.1462703220383283,1.207699263268394,-0.4980708543748039,4.52
Decision Tree (K=3),{'max_depth': 3},2.349447993044308,1.2659106434355119,-0.5197445397414414,1.28
Linear Regression (K=11),{},2.0374019123243157,1.1701627687211509,-0.5205604154757616,2.96
Decision Tree (K=9),{'max_depth': 3},2.1908808278040697,1.222040231708723,-0.5483640139829604,8.73
Decision Tree (K=5),{'max_depth': 3},2.622300936335605,1.3066269225126326,-0.7357669413004075,1.62
Decision Tree (K=11),{'max_depth': 3},2.4373337719700916,1.3339934444785966,-0.7670836789859106,3.41
