Model,Best Params,MSE,MAE,R2,Training Time (s)
Linear Regression (K=3),{},6.439118570636741e-29,6.46168459542339e-15,1.0,5.58
Linear Regression (K=5),{},6.439118570636741e-29,6.46168459542339e-15,1.0,4.29
Linear Regression (K=7),{},6.439118570636741e-29,6.46168459542339e-15,1.0,6.21
Linear Regression (K=9),{},6.439118570636741e-29,6.46168459542339e-15,1.0,8.31
Decision Tree (K=7),{'max_depth': 7},0.013937309923969585,0.06055922368947577,0.9913443144570454,26.76
Decision Tree (K=3),{'max_depth': 5},0.23065111698525562,0.3110416474282022,0.8567554607276044,11.03
Random Forest (K=9),"{'max_depth': 10, 'n_estimators': 50}",0.2514179170093009,0.3996605284538057,0.8438583599440149,419.56
Random Forest (K=5),"{'max_depth': 10, 'n_estimators': 50}",0.2581964139050588,0.40866557156195815,0.8396486137373479,232.94
Random Forest (K=7),"{'max_depth': 5, 'n_estimators': 100}",0.3567097616959758,0.48518684335461065,0.778467470108231,340.54
Random Forest (K=3),"{'max_depth': 5, 'n_estimators': 100}",0.36773150804266436,0.49446472123710433,0.7716224784253616,149.31
Decision Tree (K=9),{'max_depth': 3},0.8419939655807477,0.7187561849914791,0.4770845281557361,31.63
Decision Tree (K=5),{'max_depth': 3},0.8419939655807477,0.7187561849914791,0.4770845281557361,17.02
Gradient Boosting (K=3),"{'learning_rate': 0.01, 'n_estimators': 50}",1.0349783932103005,0.8277296696363486,0.3572326679789246,84.05
Gradient Boosting (K=5),"{'learning_rate': 0.01, 'n_estimators': 50}",1.0349783932103005,0.8277296696363486,0.3572326679789246,143.56
Gradient Boosting (K=7),"{'learning_rate': 0.01, 'n_estimators': 50}",1.0349783932103005,0.8277296696363486,0.3572326679789246,204.16
Gradient Boosting (K=9),"{'learning_rate': 0.01, 'n_estimators': 50}",1.0349783932103007,0.8277296696363486,0.3572326679789244,266.56
Lasso Regression (K=3),{'alpha': 10.0},1.6101913424193204,1.047935880234447,0.0,11.08
Lasso Regression (K=5),{'alpha': 10.0},1.6101913424193204,1.047935880234447,0.0,17.61
Lasso Regression (K=7),{'alpha': 10.0},1.6101913424193204,1.047935880234447,0.0,25.51
Lasso Regression (K=9),{'alpha': 10.0},1.6101913424193204,1.047935880234447,0.0,34.2
