isoform	p-value_lowest	effector_score
SNOO_500610_1	0.084752492	0.219
SNOO_500610_2	0.025950023	0.219
SNOO_505150_1	0.003858875	-2.627
SNOO_104700A_1	0.011491444	-3.093
SNOO_104700A_2	0.089197256	-3.093
SNOO_129020A_1	0.004227717	-0.139
SNOO_129020A_2	0.035058689	-0.139
SNOO_414470A_1	0.000876744	-1.968
SNOO_414470A_2	0.000876744	-1.968
SNOO_140770A_1	0.142795309	-3.338
SNOO_107040A_1	0.012223699	-3.179
SNOO_107040A_2	0.025628976	-3.179
SNOO_158180A_1	0.002972644	-2.773
SNOO_158180A_2	0.066794552	-2.773
SNOO_158180A_3	0.011531889	-2.773
SNOO_447800A_1	0.042156186	-1.782
SNOO_506430_1	0.01246995	-2.95
SNOO_558880_1	0.367879441	0.578
SNOO_080600A_1	0.017454691	-3.048
SNOO_080600A_2	0.001857107	-3.048
SNOO_308090A_1	0.367879441	-2.967
SNOO_012890A_1	0.367879441	-2.307
SNOO_408130A_1	0.367879441	-1.955
SNOO_143640A_1	0.002459984	-3.208
SNOO_150820A_1	0.035373023	-1.934
SNOO_132970A_1	0.367879441	-1.227
SNOO_409410A_1	0.367879441	-2.128
SNOO_426170A_1	0.021806858	-2.462
SNOO_426170A_2	0.011845927	-2.462
SNOO_426170A_3	0.019574661	-2.462
SNOO_148910A_1	0.153927953	0.005
SNOO_009690A_1	0.009297004	-3.364
SNOO_014170A_1	0.048130304	-2.668
SNOO_564790_1	0.035373023	-2.149
SNOO_564790_2	0.035373023	-2.149
SNOO_301550A_1	0.027528273	-3.077
SNOO_406100A_1	0.367879441	-0.603
SNOO_027500A_1	0.015694531	-2.919
SNOO_027500A_2	0.054436695	-2.919
SNOO_027500A_3	0.001677356	-2.919
SNOO_072460A_1	0.014470185	-1.689
SNOO_553590_1	0.01013107	0.052
SNOO_085230A_1	0.012862918	-2.413
SNOO_085230A_2	0.012862918	-2.413
SNOO_079570A_1	0.367879441	-1.142
SNOO_417830A_1	0.367879441	-2.221
SNOO_301930A_1	0.037065844	-2.971
SNOO_522570_1	0.027747803	-2.266
SNOO_038470A_1	0.073257378	-1.072
SNOO_597830_1	0.050111128	-2.963
SNOO_088420A_1	0.367879441	-1.945
SNOO_120670A_1	0.001767655	-3.346
SNOO_120670A_2	0.020345793	-3.346
SNOO_158960A_1	0.003459663	-2.628
SNOO_158960A_2	0.002904024	-2.628
SNOO_509910_1	0.050161175	-0.611
SNOO_509910_2	0.039065123	-0.611
SNOO_611660_1	0.367879441	-0.796
SNOO_303110A_1	0.012862918	-2.467
SNOO_303110A_2	0.012862918	-2.467
SNOO_097140A_1	0.367879441	-2.83
SNOO_161070A_1	0.005738846	0.232
SNOO_161070A_2	0.030774987	0.232
SNOO_161070A_3	0.012862918	0.232
SNOO_307040A_1	0.037999509	-1.191
SNOO_130830A_1	0.012862918	0.732
SNOO_130830A_2	0.032441666	0.732
SNOO_130830A_3	0.035373023	0.732
SNOO_043300A_1	0.029591457	-3.348
SNOO_043300A_2	0.001394369	-3.348
SNOO_043300A_3	0.021725182	-3.348
SNOO_519540_1	0.024360587	-2.796
SNOO_519540_2	0.013748984	-2.796
SNOO_082060A_1	0.03178135	2.231
SNOO_082060A_2	0.046321766	2.231
SNOO_082060A_3	0.035373023	2.231
SNOO_572430_1	0.029305309	-0.848
SNOO_628390_1	0.079530325	-3.187
SNOO_628390_2	0.079530325	-3.187
SNOO_514310_1	0.061964905	-3.362
